agent\.id,agent\.ip,rule\.groups,rule\.mitre\.technique
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""account_changed"",""adduser""]","[""Account Manipulation""]"
001,192.168.50.5,"[""windows"",""windows_security"",""group_changed"",""win_group_changed""]","[""Domain Policy Modification""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""win_evt_channel"",""windows"",""authentication_success""]","[""Pass the Hash"",""Domain Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
000, ,"[""pam"",""syslog"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_registry""]","[""Stored Data Manipulation"",""Modify Registry""]"
001,192.168.50.5,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_registry""]","[""Stored Data Manipulation"",""Modify Registry""]"
001,192.168.50.5,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_registry""]","[""Stored Data Manipulation"",""Modify Registry""]"
001,192.168.50.5,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_registry""]","[""Stored Data Manipulation"",""Modify Registry""]"
001,192.168.50.5,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_registry""]","[""Stored Data Manipulation"",""Modify Registry""]"
001,192.168.50.5,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_registry""]","[""Stored Data Manipulation"",""Modify Registry""]"
001,192.168.50.5,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_registry""]","[""Stored Data Manipulation"",""Modify Registry""]"
001,192.168.50.5,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_registry""]","[""Stored Data Manipulation"",""Modify Registry""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
000, ,"[""syslog"",""sudo""]","[""Sudo and Sudo Caching""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
001,192.168.50.5,"[""windows"",""windows_security"",""authentication_success""]","[""Valid Accounts""]"
